,Time,User,Retweets,Likes,Tweet
34,2022-03-12 17:06:14+00:00,WatcherGuru,717,5186,b'JUST IN: #Bitcoin exchange reserves have dropped to their lowest level in 3 years.'
35,2022-03-14 01:17:43+00:00,cz_binance,2581,15251,b'#bitcoin and #BNB have no inflation.'
36,2022-03-14 13:04:26+00:00,BitcoinMagazine,701,3859,"b'NEW \xf0\x9f\x92\xa5 US Senator Cory Booker: #Bitcoin and crypto could ""bring growth to the American economy."" \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/3VTfkz0if2'"
37,2022-03-12 21:08:32+00:00,nntaleb,951,6268,"b'So the same pple who believe that Trump won the election, weightlifting combined with hydroxychloroquine, cures Cov\xe2\x80\xa6 https://t.co/68bMV5r0nJ'"
38,2022-03-14 18:07:20+00:00,BitcoinMagazine,660,4591,"b""NEW: U.S. senator's #Bitcoin bill aims to provide a tax exclusion for purchases up to $600 using BTC \xf0\x9f\x99\x8c https://t.co/blnUahBfSi"""
39,2022-03-14 05:19:39+00:00,theRealKiyosaki,647,4783,b'BRANDON  &amp; FED want INFLATION to pay off trillions in debt. BEST INVESTMENT may be stocking products you will alway\xe2\x80\xa6 https://t.co/ls75lJc068'
40,2022-03-13 17:10:59+00:00,BitcoinMagazine,755,5208,"b'\xe2\x80\x9c#Bitcoin mining is the cleanest, most efficient use of energy in the world.\xe2\x80\x9d \xe2\x80\x94 MicroStrategy CEO \xf0\x9f\x99\x8c'"
41,2022-03-15 12:11:53+00:00,binance,51869,37610,"b'\xf0\x9f\x92\xb0 $10,000 giveaway \xf0\x9f\x92\xb0\n \nPost your #BitcoinButton result to enter!\n \nRules:\n\xf0\x9f\x94\xb8 Retweet this post\n\xf0\x9f\x94\xb8 Follow @Binance\n\xf0\x9f\x94\xb8 P\xe2\x80\xa6 https://t.co/L2vlY1QLVZ'"
42,2022-03-14 04:11:38+00:00,elonmusk,13967,60225,"b'@saylor As a general principle, for those looking for advice from this thread, it is generally better to own physic\xe2\x80\xa6 https://t.co/Ap8aq0qFoC'"
43,2022-03-12 17:36:45+00:00,danheld,3165,16661,"b'US Department of Defense: *Burns 4.6B gallons of fuel annually*\n\nMedia: ""Bitcoin\'s carbon footprint is a major issu\xe2\x80\xa6 https://t.co/5g7KTQ1nhz'"
44,2022-03-14 15:21:08+00:00,cz_binance,685,5033,b'I am curious if the 24 wanting to ban POW have ever tried a bitcoin transaction yet? https://t.co/2YRZ2MZ8bv'
45,2022-03-15 12:01:45+00:00,binance,1145,2916,b'Introducing #BitcoinButton!\n \nYou could win one #Bitcoin at the press of a button.\n \nGet started \xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/Dc9aMMCMQC'
46,2022-03-15 12:01:25+00:00,cz_binance,2067,5976,b'Click a button and you could win a #Bitcoin. \n\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/wlJr3w7zcO https://t.co/ml4MQCGHZS'
47,2022-03-15 12:25:26+00:00,BitcoinMagazine,1284,7391,"b'\xf0\x9f\x92\xa5 ""Bond King"" Bill Gross: \xe2\x80\x9cWe need an alternative to the dollar."" That\'s why I\xe2\x80\x99m buying #Bitcoin \xf0\x9f\x91\x8f https://t.co/bhjRkjSSQu'"
48,2022-03-14 03:06:11+00:00,cz_binance,2331,15225,b'I believe #bitcoin is the most efficient financial network in existence ever. In terms of cost per value transacted\xe2\x80\xa6 https://t.co/6dLMWSpmD9'
49,2022-03-15 12:30:55+00:00,saylor,1404,8843,"b'\xe2\x80\x9cThe mystery of human existence lies not in just staying alive, but in finding something to live for.\xe2\x80\x9d - Dostoevsky on #Bitcoin'"
50,2022-03-15 16:23:51+00:00,BitcoinMagazine,897,6142,"b'JUST IN: ""Making #Bitcoin legal tender in the USA will be my primary objective on the senate floor."" - U.S. Senate\xe2\x80\xa6 https://t.co/jAwzi9IdPl'"
51,2022-03-14 12:55:51+00:00,WatcherGuru,620,4938,b'JUST IN: \xf0\x9f\x87\xb8\xf0\x9f\x87\xbb El Salvador\xe2\x80\x99s pro-#Bitcoin\xc2\xa0 President @nayibbukele has received an 85% approval rating in a Gallup poll.'
52,2022-03-14 06:19:43+00:00,WatcherGuru,882,5420,"b'BREAKING: Austin, Texas is exploring ways to accept #Bitcoin\xc2\xa0as a payment option.'"
53,2022-03-12 17:06:14+00:00,WatcherGuru,717,5186,b'JUST IN: #Bitcoin exchange reserves have dropped to their lowest level in 3 years.'
54,2022-03-15 12:11:53+00:00,binance,51869,37610,"b'\xf0\x9f\x92\xb0 $10,000 giveaway \xf0\x9f\x92\xb0\n \nPost your #BitcoinButton result to enter!\n \nRules:\n\xf0\x9f\x94\xb8 Retweet this post\n\xf0\x9f\x94\xb8 Follow @Binance\n\xf0\x9f\x94\xb8 P\xe2\x80\xa6 https://t.co/L2vlY1QLVZ'"
55,2022-03-14 04:11:38+00:00,elonmusk,13967,60225,"b'@saylor As a general principle, for those looking for advice from this thread, it is generally better to own physic\xe2\x80\xa6 https://t.co/Ap8aq0qFoC'"
56,2022-03-16 06:05:33+00:00,natbrunell,2103,11271,b'Left my fiat job for #Bitcoin and truly feel I\xe2\x80\x99m living out my calling to help others. We all deserve to have hope\xe2\x80\xa6 https://t.co/Nd02ETO2Jr'
57,2022-03-12 17:36:45+00:00,danheld,3165,16661,"b'US Department of Defense: *Burns 4.6B gallons of fuel annually*\n\nMedia: ""Bitcoin\'s carbon footprint is a major issu\xe2\x80\xa6 https://t.co/5g7KTQ1nhz'"
58,2022-03-16 23:10:00+00:00,CryptoHayes,1504,5343,"b'What happens when you ""cancel"" the world\'s largest energy producer ... ? ""Energy Cancelled"" is an essay on why the\xe2\x80\xa6 https://t.co/7mLVbrPgAG'"
59,2022-03-14 15:21:08+00:00,cz_binance,685,5033,b'I am curious if the 24 wanting to ban POW have ever tried a bitcoin transaction yet? https://t.co/2YRZ2MZ8bv'
60,2022-03-15 12:01:45+00:00,binance,1145,2916,b'Introducing #BitcoinButton!\n \nYou could win one #Bitcoin at the press of a button.\n \nGet started \xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/Dc9aMMCMQC'
61,2022-03-16 12:36:35+00:00,BitcoinMagazine,1361,8217,"b""JUST IN \xf0\x9f\x92\xa5 South Korea's new president vows to introduce favorable #Bitcoin and crypto tax laws \xf0\x9f\x87\xb0\xf0\x9f\x87\xb7 https://t.co/0DGHHyVLVW"""
62,2022-03-15 12:01:25+00:00,cz_binance,2067,5976,b'Click a button and you could win a #Bitcoin. \n\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/wlJr3w7zcO https://t.co/ml4MQCGHZS'
63,2022-03-15 12:25:26+00:00,BitcoinMagazine,1284,7391,"b'\xf0\x9f\x92\xa5 ""Bond King"" Bill Gross: \xe2\x80\x9cWe need an alternative to the dollar."" That\'s why I\xe2\x80\x99m buying #Bitcoin \xf0\x9f\x91\x8f https://t.co/bhjRkjSSQu'"
64,2022-03-14 03:06:11+00:00,cz_binance,2331,15225,b'I believe #bitcoin is the most efficient financial network in existence ever. In terms of cost per value transacted\xe2\x80\xa6 https://t.co/6dLMWSpmD9'
65,2022-03-15 12:30:55+00:00,saylor,1404,8843,"b'\xe2\x80\x9cThe mystery of human existence lies not in just staying alive, but in finding something to live for.\xe2\x80\x9d - Dostoevsky on #Bitcoin'"
66,2022-03-16 12:09:07+00:00,BitcoinMagazine,849,5141,"b'\xf0\x9f\x92\xa5 New York City Mayor: ""I encourage young people to put $10 into #Bitcoin."" \xf0\x9f\x92\xa5 https://t.co/MfbaiLQNrI'"
67,2022-03-15 12:11:53+00:00,binance,51869,37610,"b'\xf0\x9f\x92\xb0 $10,000 giveaway \xf0\x9f\x92\xb0\n \nPost your #BitcoinButton result to enter!\n \nRules:\n\xf0\x9f\x94\xb8 Retweet this post\n\xf0\x9f\x94\xb8 Follow @Binance\n\xf0\x9f\x94\xb8 P\xe2\x80\xa6 https://t.co/L2vlY1QLVZ'"
68,2022-03-14 04:11:38+00:00,elonmusk,13967,60225,"b'@saylor As a general principle, for those looking for advice from this thread, it is generally better to own physic\xe2\x80\xa6 https://t.co/Ap8aq0qFoC'"
69,2022-03-16 06:05:33+00:00,natbrunell,2103,11271,b'Left my fiat job for #Bitcoin and truly feel I\xe2\x80\x99m living out my calling to help others. We all deserve to have hope\xe2\x80\xa6 https://t.co/Nd02ETO2Jr'
70,2022-03-12 17:36:45+00:00,danheld,3165,16661,"b'US Department of Defense: *Burns 4.6B gallons of fuel annually*\n\nMedia: ""Bitcoin\'s carbon footprint is a major issu\xe2\x80\xa6 https://t.co/5g7KTQ1nhz'"
71,2022-03-16 23:10:00+00:00,CryptoHayes,1504,5343,"b'What happens when you ""cancel"" the world\'s largest energy producer ... ? ""Energy Cancelled"" is an essay on why the\xe2\x80\xa6 https://t.co/7mLVbrPgAG'"
72,2022-03-14 15:21:08+00:00,cz_binance,685,5033,b'I am curious if the 24 wanting to ban POW have ever tried a bitcoin transaction yet? https://t.co/2YRZ2MZ8bv'
73,2022-03-15 12:01:45+00:00,binance,1145,2916,b'Introducing #BitcoinButton!\n \nYou could win one #Bitcoin at the press of a button.\n \nGet started \xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/Dc9aMMCMQC'
74,2022-03-16 12:36:35+00:00,BitcoinMagazine,1361,8217,"b""JUST IN \xf0\x9f\x92\xa5 South Korea's new president vows to introduce favorable #Bitcoin and crypto tax laws \xf0\x9f\x87\xb0\xf0\x9f\x87\xb7 https://t.co/0DGHHyVLVW"""
75,2022-03-15 12:01:25+00:00,cz_binance,2067,5976,b'Click a button and you could win a #Bitcoin. \n\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/wlJr3w7zcO https://t.co/ml4MQCGHZS'
76,2022-03-15 12:25:26+00:00,BitcoinMagazine,1284,7391,"b'\xf0\x9f\x92\xa5 ""Bond King"" Bill Gross: \xe2\x80\x9cWe need an alternative to the dollar."" That\'s why I\xe2\x80\x99m buying #Bitcoin \xf0\x9f\x91\x8f https://t.co/bhjRkjSSQu'"
77,2022-03-17 15:00:39+00:00,Coinsquare,993,1172,"b""\xf0\x9f\x8d\x80 GIVEAWAY ALERT\xf0\x9f\x8d\x80\nHappy #StPatricksDay!! To celebrate, we'll be choosing one lucky winner to win $1000 in #Bitcoin.\xe2\x80\xa6 https://t.co/JJRPHJNNEV"""
78,2022-03-14 03:06:11+00:00,cz_binance,2331,15225,b'I believe #bitcoin is the most efficient financial network in existence ever. In terms of cost per value transacted\xe2\x80\xa6 https://t.co/6dLMWSpmD9'
79,2022-03-17 15:58:13+00:00,BitcoinMagazine,1689,10074,"b'""We need #bitcoin to be legal tender in Mexico."" - Mexican senator \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd https://t.co/2uY225IcrZ'"
80,2022-03-15 12:30:55+00:00,saylor,1404,8843,"b'\xe2\x80\x9cThe mystery of human existence lies not in just staying alive, but in finding something to live for.\xe2\x80\x9d - Dostoevsky on #Bitcoin'"
81,2022-03-18 21:42:31+00:00,WatcherGuru,372,2624,"b'JUST IN: BitMEX exchange founder Arthur Hayes predicts #Bitcoin will reach $1,000,000 one day.'"
82,2022-03-18 20:22:12+00:00,APompliano,1143,5915,b'Bitcoin\xe2\x80\x99s Lightning Network is the most advanced payment system ever created. https://t.co/OzDBoaTX3Q'
83,2022-03-18 22:17:27+00:00,WatcherGuru,273,1751,b'JUST IN: \xf0\x9f\x87\xb8\xf0\x9f\x87\xbb 14% of Salvadoran businesses have transacted with #Bitcoin according to the country\xe2\x80\x99s Chamber of Commerce.'
84,2022-03-18 20:31:56+00:00,scottmelker,315,2117,b'Buy #Bitcoin and opt out...\n\nThe 50 richest Americans are worth as much as the poorest 165 million.\n\nThe population\xe2\x80\xa6 https://t.co/YhcD9VjOEk'
85,2022-03-18 20:37:49+00:00,BitcoinMagazine,473,3375,b'\xf0\x9f\x92\xa5 The largest #Bitcoin conference in history starts in 19 days. \xf0\x9f\x91\x80'
86,2022-03-18 21:19:49+00:00,ewarren,574,2827,"b'Oligarchs help keep Putin in power, so they need to feel the heat for Putin\xe2\x80\x99s war. That\xe2\x80\x99s why we\xe2\x80\x99re going after the\xe2\x80\xa6 https://t.co/JURZZhllma'"
87,2022-03-18 16:26:01+00:00,BitcoinMagazine,2793,8743,"b""\xf0\x9f\x92\xa5 #Bitcoin's Lightning Network can currently perform over 1,000 times as much transactions as Visa  https://t.co/4FcvY2y69g"""
88,2022-03-18 18:52:00+00:00,TomBrady,407,4227,b'Hey @FTX_Official \xe2\x80\xa6could we donate a Bitcoin to the charity of this person\xe2\x80\x99s choice?! \xf0\x9f\x98\x82 https://t.co/oDX0M3ysX1 https://t.co/iI3kZo5KA6'
89,2022-03-18 18:31:31+00:00,BitcoinMagazine,370,2488,"b'""#Bitcoin is aligned with American values"" - U.S. Rep Pete Sessions \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'"
90,2022-03-18 20:35:08+00:00,TheMoonCarl,201,1574,b'#Bitcoin \xf0\x9f\x91\x80 https://t.co/TZ9xQmUPb3'
91,2022-03-18 20:29:55+00:00,davidgokhshtein,102,524,b'This tweet sends #bitcoin and the entire #crypto market to the moon. \n\n(positive energy only)'
92,2022-03-18 17:13:49+00:00,LynAldenContact,372,3432,"b'This could change anytime, but frankly the #Bitcoin  price chart currently looks better than it has for quite a whi\xe2\x80\xa6 https://t.co/dwYs1CZuH8'"
93,2022-03-18 22:25:02+00:00,davidgokhshtein,95,243,b'RT and Like if you own #bitcoin.'
94,2022-03-18 19:30:02+00:00,TheMoonCarl,187,1664,"b'#Bitcoin is nearing $42,000!'"
95,2022-03-18 23:03:58+00:00,raypaxful,44,498,b'The #bitcoin plebs shall go down in history as the most awakened community ever and the maximalists the most feriou\xe2\x80\xa6 https://t.co/pJ8BmdnYwN'
